variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Julietta,1.0221857025472474,1.0785743631881677,2.827341824157765,3.0920295809367295,0.462202136400986,0.40951109285127363,1.827341824157765,2.0920295809367295
Jumilia,1.2436132502139103,1.0696736340300697,1.407651876298741,1.4714582569368049,0.24361325021391028,0.06967363403006967,0.407651876298741,0.47145825693680476
La Belle,2.7225829092823304,1.0401824881558168,2.2893490085979997,2.6543253202316195,1.7225829092823302,0.29636778382172313,1.2893490085979997,1.6543253202316195
Lady Bombastic,1.4484939759036144,1.5265060240963855,2.160843373493976,1.4490963855421686,0.44849397590361445,0.5265060240963856,1.1608433734939758,0.4490963855421687
Leila,1.5506486522820462,1.3525576393090004,1.7161664033701949,1.38173018753781,0.5944746924783223,0.41762452107279696,0.7161664033701949,0.39275391543994087
Lianne,2.184540787221905,2.2820878494010266,2.494152880775813,2.029092983456931,1.1845407872219054,1.2820878494010268,1.4941528807758129,1.029092983456931
Madam Bombastic,1.4704381114419396,1.7762654189706508,3.10761378136963,2.289238621863037,0.4704381114419396,0.7762654189706508,2.10761378136963,1.289238621863037
Madam Cerise,0.7871123762500944,0.8039398443207295,1.5523087386956194,1.2775272690631534,0.21288762374990552,0.1960601556792705,0.5523087386956194,0.2775272690631534
Madam Pink,0.9897226102574337,0.9481141488724806,1.3300738375573737,0.4057573338654959,0.010277389742566354,0.05188585112751946,0.3300738375573738,0.594242666134504
Madam Red,0.7235301929388552,0.7302081159530269,1.2382899205099505,0.6598148394073343,0.2764698070611447,0.26979188404697313,0.2382899205099505,0.3401851605926657
Magic Avalanche,0.6861048624329469,0.4634019726596297,0.8866585914518083,0.5511334140854819,0.3138951375670531,0.5365980273403703,0.11334140854819173,0.44886658591451806
Maitai,0.8763819095477386,1.0298157453936347,1.6814070351758794,0.7211055276381909,0.12361809045226131,0.02981574539363484,0.6814070351758794,0.27889447236180903
Marisa,0.6767566253343058,1.0650376853877948,1.3582278481012657,1.3533916849015317,0.32324337466569414,0.0650376853877948,0.35822784810126584,0.3533916849015317
Mirabel,0.42388167388167386,0.5772005772005772,6.377765752765753,7.276815776815777,0.6485088985088985,0.5347522847522848,5.377765752765753,6.276815776815777
Miss Bombastic,3.883499762244413,2.3176414645744177,2.1474084640989064,2.522111269614836,2.883499762244413,1.3176414645744174,1.1474084640989064,1.522111269614836
Misty Bubbles,0.6590668080593849,0.5185577942735949,0.8791092258748674,0.6590668080593849,0.34093319194061505,0.4814422057264051,0.12089077412513255,0.34093319194061505
Moonwalk,0.6567229816396086,0.30138893978817755,0.7680580496206985,0.7839630593322827,0.3432770183603914,0.6986110602118225,0.2319419503793015,0.21603694066771723
My Beauty,1.8215783454060237,1.8780022874571103,2.5348837209302326,2.641631719405261,0.8215783454060236,0.8780022874571102,1.5348837209302326,1.6416317194052612
Nalani,0.5148395721925134,0.4209893048128342,0.5799465240641711,0.5454545454545454,0.6086898395721925,0.5790106951871657,0.4449197860962567,0.45454545454545453
Nathalie,0.9980523094045631,1.4207011686143574,1.5428491930996104,1.7941012799109628,0.0019476905954368391,0.42070116861435725,0.5428491930996104,0.7941012799109627
New Orleans,0.27241229969683844,0.3376461671719359,1.3310415764400174,0.7089107838891295,0.7275877003031616,0.6623538328280641,0.3310415764400173,0.2910892161108705
Odilia,0.6887061587514683,0.9221010236616882,2.7049169323712032,1.9831515354925322,0.38164121496895453,0.32042288974660177,1.7049169323712032,0.9831515354925323
Orange Strike,0.8541666666666666,0.456280193236715,3.101268115942029,3.2793478260869566,0.24341787439613527,0.543719806763285,2.238949275362319,2.617149758454106
Paranita,0.9164216715665686,1.002309953800924,1.8134187316253676,1.1558168836623268,0.08357832843343133,0.0023099538009239817,0.8134187316253675,0.15581688366232677
Princess Peach,1.5297770971584141,1.6465883954398504,2.6011570529181554,3.3843797856049003,0.5297770971584141,0.6465883954398502,1.6011570529181556,2.3843797856049003
Reflex,0.88712916927332,1.1181390141911691,2.9335879622007837,3.025155576042936,0.13124362055908598,0.27901616673800667,1.9335879622007837,2.025155576042936
Revival,0.6084295929592959,0.4258800880088009,0.5944719471947195,0.7261413641364136,0.39157040704070406,0.5741199119911992,0.40552805280528054,0.2738586358635864
Rowena,1.5479556744363776,2.2296522735957205,6.245319067634696,4.605273213603363,0.5479556744363775,1.2296522735957203,5.245319067634696,3.6052732136033625
Royal Park,2.9690721649484537,1.3236377025036818,2.003681885125184,1.7794550810014726,1.9690721649484537,0.3236377025036819,1.003681885125184,0.7794550810014728
Royal Porcelina,1.389841044312228,1.7595240209572862,3.1188171565580323,2.793890418257704,0.38984104431222805,0.7595240209572862,2.1188171565580323,1.7938904182577036
Salinero,1.6229542331237246,1.8300087452629825,2.46470661724899,1.6236205388747762,0.6229542331237247,0.8300087452629825,1.4647066172489902,0.6236205388747762
