variety_name,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Salinero,0.5458854546474449,1.3293880069557413,1.7733774611544286,0.45411454535255513,0.3293880069557413,0.7733774611544286
Silver Shadow,1.3346073233879916,1.7059548760941932,1.561952903464431,0.3346073233879916,0.705954876094193,0.561952903464431
Smashing,1.1532366824005393,1.4416722859069453,1.3680040458530007,0.15323668240053945,0.4416722859069454,0.36800404585300067
Snow Storm,0.41480029562032067,0.44969634651842805,0.48253590822917003,0.5851997043796793,0.550303653481572,0.51746409177083
Snowflake,0.9265503067850122,0.8040150116161315,0.9653898850300828,0.12325013403228689,0.19598498838386846,0.13581938404717936
Snowy Blossoms,1.8852645552816234,2.468740122637335,2.939819204753777,0.8852645552816234,1.4687401226373349,1.939819204753777
Sparkling Bubbles,2.266111354669005,3.1069706269180184,2.947829899167032,1.2661113546690048,2.1069706269180184,1.947829899167032
Summer Dance,1.346285140562249,3.9042168674698794,4.304919678714859,0.346285140562249,2.9042168674698794,3.3049196787148594
Summer Rose,0.6365073986219361,0.62526827064272,0.5942900711623179,0.36349260137806394,0.37473172935728,0.40570992883768214
Summer Time,2.281527823510043,3.8327296674349687,5.303259795851169,1.281527823510043,2.8327296674349687,4.303259795851169
Sweet Gelato,1.3500439753737907,1.5200287838810267,1.5640841128967777,0.3500439753737907,0.5200287838810266,0.5640841128967778
Sweet Revival,0.5510180649112064,0.46628138395590935,0.6086956521739131,0.44898193508879364,0.5337186160440907,0.5112522963870177
Tarantella,1.3097289346501366,1.6965749106955244,1.4311830216432024,0.30972893465013657,0.6965749106955242,0.4311830216432024
Trinity,0.9380336351875809,1.0926261319534283,1.1840879689521346,0.06196636481241915,0.0926261319534282,0.18408796895213453
Uzuri,1.0522397638300602,0.925555127711462,1.031574894108587,0.05223976383006033,0.07444487228853805,0.03157489410858683
Wedding Invite,1.3655341792877609,1.374539500613999,1.4328694228407695,0.36553417928776094,0.37453950061399915,0.43286942284076957
