variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape,w+4_final_wape
Rowena,1.1700745270399389,1.9656029046436079,1.5847506210586662,1.9103764570991784,0.17007452703993886,0.9656029046436079,0.5847506210586662,0.9103764570991782
Royal Park,1.0946372239747635,0.9725101397025687,1.2392969806219019,2.466876971608833,0.0946372239747634,0.027489860297431275,0.23929698062190174,1.4668769716088328
Royal Porcelina,0.8355894996798683,1.0228665508094759,0.9094941918960944,1.1748833805908716,0.1967895362663496,0.10271654623616573,0.21124119637793834,0.39659745723955
Salinero,1.2002684933392997,0.968056177067915,0.7785274173006093,1.0920450242676671,0.20026849333929986,0.10519431344876252,0.2312484940277443,0.36198409693297995
Silver Shadow,1.4219725343320848,2.290529695024077,1.0579632602104512,1.4326734439093989,0.42197253433208487,1.290529695024077,0.05796326021045122,0.432673443909399
Smashing,0.829622458857696,0.8651638777485825,1.597012861291661,0.5972894482090997,0.17037754114230397,0.1348361222514175,0.5970128612916609,0.4027105517909003
Snow Storm,2.136490493633351,1.0202337345194488,1.0346241060526775,1.2092272806558522,1.1364904936333509,0.020233734519448807,0.03462410605267748,0.20922728065585208
Snowflake,1.7289054372228,2.1250615999561955,1.4057931336582161,1.5542900947270437,0.8101626238843563,1.1250615999561955,0.40579313365821607,0.5542900947270437
Snowy Blossoms,1.4666705376843572,1.9322378353269074,2.104807803971664,2.406224596446406,0.46667053768435723,0.9322378353269074,1.1048078039716642,1.4062245964464057
Sparkling Bubbles,0.8356266269988843,0.8095946448493864,2.768687244328747,2.613982893268873,0.16437337300111565,0.1904053551506136,1.7686872443287467,1.6139828932688731
Summer Dance,0.6537897310513447,0.7460880195599022,1.1663814180929095,1.0230440097799511,0.34621026894865525,0.2539119804400978,0.16638141809290954,0.0230440097799511
Summer Rose,1.3747685097698326,0.9078574398125402,0.633924184587475,0.5416682414301371,0.596923542083979,0.19426282172417703,0.36607581541252504,0.4583317585698628
Summer Time,6.55304347826087,6.754782608695653,11.212173913043479,17.968695652173913,5.55304347826087,5.754782608695653,10.212173913043479,16.968695652173913
Sweet Gelato,0.8080587224738404,1.4644697797907231,1.3239887552709668,1.7748711541464939,0.1919412775261596,0.4644697797907231,0.38411682024051225,0.7748711541464939
Sweet Revival,1.2630381063857459,0.8524515541682923,1.1002080894784758,0.9808817791650409,0.2630381063857459,0.1844843282611523,0.10020808947847575,0.26349330211991157
Tarantella,0.7796972395369546,1.4564559216384685,0.8174532502226179,0.7754229741763135,0.22030276046304542,0.4564559216384684,0.182546749777382,0.22457702582368655
Trinity,1.4521014767133662,1.7404392275653162,1.2945853843241197,1.1885649375236653,0.45210147671336615,0.7404392275653162,0.2945853843241196,0.18856493752366527
Uzuri,1.7818568768289438,1.679169992019154,1.180367118914605,1.3357275871242351,0.7818568768289439,0.6791699920191541,0.18036711891460494,0.33572758712423517
Wedding Invite,1.1321109543958627,1.6718382698636578,1.7550540667606958,1.6488011283497885,0.1321109543958627,0.6718382698636577,0.7550540667606959,0.6488011283497884
