variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape,w+4_final_wape
Jelitah,0.8290699644248687,0.893274606132475,0.6759274944943249,1.281382347958665,0.17093003557513128,0.10672539386752498,0.32407250550567507,0.28138234795866507
Julietta,0.8931888544891641,0.8004643962848297,0.9136222910216718,0.8363777089783282,0.165015479876161,0.1995356037151703,0.1369969040247678,0.16362229102167183
Julietta Apricot,1.044077134986226,0.9738292011019284,1.0895316804407713,1.2630853994490359,0.0440771349862259,0.026170798898071626,0.08953168044077135,0.2630853994490358
Julietta Cerise,0.7384868421052632,0.707737414187643,0.4836241418764302,0.6725543478260869,0.2811069794050343,0.34532322654462244,0.5163758581235698,0.327445652173913
Julietta Honey,0.670045045045045,1.365990990990991,1.1452702702702702,0.8986486486486487,0.32995495495495497,0.36599099099099097,0.14527027027027026,0.10135135135135136
Julietta Lemonchella,0.5040595399188093,0.9918809201623816,0.857916102841678,1.0520974289580514,0.4959404600811908,0.008119079837618403,0.14208389715832206,0.052097428958051424
Julietta Raspberry,0.634902411021814,0.4535017221584386,0.6934557979334098,1.1010332950631458,0.365097588978186,0.5464982778415615,0.3065442020665901,0.1010332950631458
La Mandarina,0.7751322751322751,1.2804232804232805,1.1944444444444444,1.4444444444444444,0.22486772486772486,0.2804232804232804,0.19444444444444445,0.4444444444444444
Limasol,2.0460526315789473,1.2894736842105263,3.2697368421052633,1.6348684210526316,1.0460526315789473,0.2894736842105263,2.2697368421052633,0.6348684210526315
Marisa,0.8380357885975863,1.247940074906367,0.8149812734082397,0.39325842696629215,0.16196421140241365,0.24794007490636705,0.1850187265917603,0.6067415730337079
Mic Mac,0.9565217391304348,0.9036340038935756,1.5064892926670992,1.6885139519792343,0.18818948734587929,0.14503569110966905,0.5064892926670993,0.6885139519792343
Motown,1.1115702479338843,2.4779614325068873,1.6487603305785123,0.24104683195592286,0.1115702479338843,1.477961432506887,0.6487603305785123,0.7589531680440771
Odilia,0.5167704054632967,0.5604918982939798,0.5117556636343018,0.7233828087594184,0.5217347478769246,0.4395081017060202,0.5723105611974901,0.4114356273467228
Pauline,0.5461021778953796,,1.1198860166904132,1.835131284347649,0.4538978221046204,,0.11988601669041318,0.835131284347649
Peach Shine,0.9124203821656051,1.030709736123749,1.7563694267515924,1.406960873521383,0.26956323930846227,0.030709736123748863,0.7563694267515924,0.7468152866242038
Pina Colada,0.3622280121118231,0.4300401380184494,0.4347581156256602,0.5052461094289135,0.6377719878881769,0.5699598619815506,0.5652418843743399,0.49475389057108654
Pink Parasol,1.4277894736842105,0.9202813599062134,0.6732631578947369,0.5393684210526316,0.6122105263157894,0.07971864009378664,0.32673684210526316,0.46063157894736845
Pink Shine,0.5207629164654756,0.67189763399324,0.5234186383389667,1.3713182037662965,0.4792370835345244,0.32810236600676,0.4765813616610333,0.3713182037662965
Prana,0.9057971014492754,1.193979933110368,1.29041248606466,1.2837235228539576,0.09420289855072464,0.1939799331103679,0.29041248606465997,0.28372352285395763
Precious Parasol,0.5451932290003194,0.5623595505617978,0.9811561801341424,1.5311402107952732,0.4548067709996806,0.43764044943820224,0.1127435324177579,0.5311402107952731
Pushkin,0.9189599133261105,1.7782231852654389,2.1020585048754064,1.061646803900325,0.4225352112676056,0.7782231852654388,1.1020585048754064,0.6061755146262189
RLM Under the Stars,1.0597680642283676,,1.2091882247992864,1.342551293487957,0.05976806422836753,,0.20918822479928637,0.34255129348795715
Reflex,0.6429484873915997,0.7448946968788714,0.6118570914758422,0.6628501778363906,0.4515645606042441,0.2773648243615873,0.3881429085241578,0.44568996523198656
Saffron Smile,0.5995575221238938,0.5652654867256637,1.2024336283185841,0.8517699115044248,0.4004424778761062,0.43473451327433627,0.20243362831858408,0.14823008849557523
Salinero,1.1258723184285344,0.8255624585318777,0.7532815808045166,0.6146937193073145,0.22197811665374342,0.2708245370649617,0.24671841919548343,0.47124579994830706
Sancerre,1.5666825623907168,,0.7235733587664918,0.3972341440152599,0.5666825623907169,,0.2764266412335082,0.6027658559847401
Silva Pink,1.2249240121580547,1.0559270516717325,0.6659574468085107,0.4787234042553192,0.22492401215805471,0.05592705167173252,0.33404255319148934,0.5212765957446809
Silver Mikado,2.599106644332775,1.86571747627024,1.3545505304299275,,1.599106644332775,0.8657174762702401,0.3545505304299274,
Silver Shadow,1.0160789990693826,0.7755661255299349,1.1303898252507496,1.5695894943645952,0.04472133181677179,0.22443387447006513,0.32643987178161515,0.5695894943645952
Snow Flake,0.6750427418392907,1.2278040634567213,0.9710945886843465,0.7042861118842193,0.5993399864816509,0.2278040634567214,0.2890143533060316,0.2957138881157807
Snowy Bubble,0.9887809549870024,0.8189902859488302,0.8375974825557532,0.39485565740867423,0.028868518265152552,0.18100971405116978,0.16240251744424683,0.6051443425913258
Sofie,0.6615598885793872,1.3064066852367688,1.3203342618384402,0.8774373259052924,0.35376044568245124,0.3064066852367688,0.3203342618384401,0.20055710306406685
Summer Rose,0.9701704545454546,0.7059659090909091,1.4019886363636365,1.421875,0.029829545454545456,0.2940340909090909,0.40198863636363635,0.421875
Sundial,0.7106350995866215,0.955324074074074,1.3821871476888388,1.5777903043968433,0.2893649004133784,0.044675925925925924,0.38218714768883877,0.5777903043968433
Sweet Sara,0.6370972109396155,0.8128373736382373,1.1528296777687517,1.645978878960195,0.3701597617113458,0.18716262636176267,0.549905226103439,1.0147847278635256
Tahiti,1.0706371191135735,0.6024930747922438,0.7894736842105263,0.9889196675900277,0.07063711911357341,0.3975069252077562,0.21052631578947367,0.0110803324099723
Trinity,1.0193766937669377,0.744579945799458,0.7772357723577236,0.9486449864498645,0.01937669376693767,0.255420054200542,0.24146341463414633,0.38631436314363143
