variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Jelitah,0.8290699644248687,0.893274606132475,1.931560223615111,1.281382347958665,0.17093003557513128,0.10672539386752498,0.9315602236151109,0.28138234795866507
Julietta,0.8931888544891641,0.8004643962848297,0.9136222910216718,0.8363777089783282,0.165015479876161,0.1995356037151703,0.1369969040247678,0.16362229102167183
Julietta Apricot,1.044077134986226,1.4986225895316805,1.559228650137741,1.2630853994490359,0.0440771349862259,0.4986225895316804,0.559228650137741,0.2630853994490358
Julietta Cerise,0.7384868421052632,0.6317219679633868,0.9861270022883295,0.6725543478260869,0.2811069794050343,0.36827803203661325,0.08009153318077804,0.327445652173913
Julietta Honey,0.670045045045045,1.365990990990991,1.1452702702702702,0.8986486486486487,0.32995495495495497,0.36599099099099097,0.14527027027027026,0.10135135135135136
Julietta Lemonchella,0.5040595399188093,0.9918809201623816,0.857916102841678,1.0520974289580514,0.4959404600811908,0.008119079837618403,0.14208389715832206,0.052097428958051424
Julietta Raspberry,0.634902411021814,0.4535017221584386,0.6934557979334098,0.8461538461538461,0.365097588978186,0.5464982778415615,0.3065442020665901,0.15384615384615385
La Mandarina,0.7751322751322751,1.2804232804232805,1.4656084656084656,1.4444444444444444,0.22486772486772486,0.2804232804232804,0.4656084656084656,0.4444444444444444
Limasol,2.0460526315789473,2.5065789473684212,2.924342105263158,1.6348684210526316,1.0460526315789473,1.506578947368421,1.924342105263158,0.6348684210526315
Marisa,0.8337828060251267,1.833190817601789,1.188054989146879,0.3683483522988884,0.1662171939748734,0.8331908176017891,0.5012826415838979,0.6316516477011116
Mic Mac,0.9565217391304348,0.9036340038935756,2.2861778066190785,1.6885139519792343,0.18818948734587929,0.14503569110966905,1.2861778066190785,0.6885139519792343
Motown,1.1115702479338843,2.8980716253443526,2.260330578512397,0.24104683195592286,0.1115702479338843,1.8980716253443526,1.2603305785123966,0.7589531680440771
Odilia,0.5167704054632967,0.37479525237507244,0.7849456946299423,0.7233828087594184,0.5217347478769246,0.6252047476249275,0.29912053020184964,0.4114356273467228
Pauline,0.5461021778953796,1.1901078770608589,2.1683289232648075,1.835131284347649,0.4538978221046204,0.19010787706085894,1.1683289232648078,0.835131284347649
Peach Shine,0.9124203821656051,1.2643312101910829,2.2022292993630574,1.406960873521383,0.26956323930846227,0.2643312101910828,1.2022292993630572,0.7468152866242038
Pina Colada,0.3622280121118231,0.4300401380184494,0.4347581156256602,0.5052461094289135,0.6377719878881769,0.5699598619815506,0.5652418843743399,0.49475389057108654
Pink Parasol,1.4277894736842105,0.7713684210526316,1.032842105263158,0.32825322391559203,0.6122105263157894,0.2286315789473684,0.39242105263157895,0.671746776084408
Pink Shine,0.5207629164654756,0.8268952197006277,1.5050700144857556,1.3713182037662965,0.4792370835345244,0.1731047802993723,0.5050700144857557,0.3713182037662965
Prana,0.9057971014492754,1.193979933110368,1.29041248606466,1.2837235228539576,0.09420289855072464,0.1939799331103679,0.29041248606465997,0.28372352285395763
Precious Parasol,0.5451932290003194,0.9134461833280102,1.3647396997764292,1.5311402107952732,0.4548067709996806,0.08719259022676461,0.49632705206004474,0.5311402107952731
